Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Radial_D5.0mm_P2.50mm,2,0.1u,
"C10, C2, C4, C5, C6, C7, C8",CP_Radial_D5.0mm_P2.50mm,7,C100n,
C9,CP_Radial_D5.0mm_P2.50mm,1,1u,
"D1, D2",DIOAD1036W78L463D237,2,1N4742A,
"J1, J2",CUI_TB010-508-02BE,2,TB010-508-02BE,
"J3, J4",CUI_TB004-508-03BE,2,TB004-508-03BE,
"PS1, PS2",CONV_1S4E_0505S1U,2,1S4E_0505S1U,
R1,R_THT,1,R130,
"R10, R9",R_THT,2,R4k7,
R2,R_THT,1,R133,
"R3, R4",R_THT,2,R562,
R5,R_THT,1,R470,
R6,R_THT,1,R2k2,
R7,R_THT,1,R100,
R8,R_THT,1,R10k,
U1,WEMOS_lolin_s3_mini,1,~,
"U2, U5",max485_to_rs485,2,*,
"U3, U4, U7",DIP762W50P254L1016H465Q8,3,6N137,
U6,TO254P482X997X1880-3P,1,"LM1117T 3,3V",
