Designator,Mid X,Mid Y,Rotation,Layer
C1,109.05,-121.75,90.0,top
C10,119.244888,-142.4,0.0,top
C2,71.65,-163.0,180.0,top
C3,69.15,-138.1,0.0,top
C4,71.6,-155.6,180.0,top
C5,71.6,-148.05,180.0,top
C6,105.35,-162.85,180.0,top
C7,105.35,-155.45,180.0,top
C8,105.35,-147.9,180.0,top
C9,127.1,-142.3,180.0,top
D1,132.1,-113.9,180.0,top
D2,118.68,-113.85,0.0,top
J1,137.35,-121.36,90.0,top
J2,137.2025,-134.4,90.0,top
J3,89.9,-176.3125,0.0,top
J4,57.13,-176.4625,0.0,top
PS1,106.6,-175.84,90.0,top
PS2,72.9,-175.99,90.0,top
R1,100.41,-117.71,270.0,top
R10,67.9,-117.35,90.0,top
R2,89.75,-163.75,90.0,top
R3,84.6,-163.75,270.0,top
R4,94.9,-163.75,270.0,top
R5,73.65,-117.3,270.0,top
R6,128.4,-129.3,90.0,top
R7,122.75,-118.5,180.0,top
R8,121.5,-134.8,0.0,top
R9,112.3,-135.4,270.0,top
U1,128.48,-162.69,0.0,top
U2,89.905,-134.805,180.0,top
U3,104.45,-130.65,0.0,top
U4,71.69,-128.76,180.0,top
U5,58.055,-134.955,180.0,top
U6,137.04,-144.45,90.0,top
U7,120.5,-125.8,270.0,top
